name,biography,first_sentence
Ronald Reagan,"Ronald Wilson Reagan (/ˈreɪɡən/ RAY-gən; February 6, 1911 – June 5, 2004) was an American politician and actor who served as the 40th president of the United States from 1981 to 1989. A member of the Republican Party, his presidency constituted the Reagan era, and he is considered one of the most prominent conservative figures in American history.

Reagan graduated from Eureka College in 1932 and began to work as a sports broadcaster in Iowa. In 1937, he moved to California, and became a well-known film actor there. From 1947 to 1952, Reagan served as the president of the Screen Actors Guild. During the 1950s, he worked in television and spoke for General Electric. From 1959 to 1960, he again served as the Screen Actors Guild's president. In 1964, ""A Time for Choosing"" gave Reagan attention as a new conservative figure. He was elected governor of California in 1966. During his governorship, he raised taxes, turned the state budget deficit into a surplus, and cracked down harshly on university protests. After challenging and losing to incumbent president Gerald Ford in the 1976 Republican presidential primaries, Reagan won the Republican nomination and then a landslide victory over incumbent Democratic president Jimmy Carter in the 1980 presidential election.

In his first term, Reagan implemented ""Reaganomics"", which involved economic deregulation and cuts in both taxes and government spending during a period of stagflation. He escalated an arms race and transitioned Cold War policy away from détente with the Soviet Union. Reagan also ordered the invasion of Grenada in 1983. Additionally, he survived an assassination attempt, fought public-sector labor unions, expanded the war on drugs, and was slow to respond to the AIDS epidemic in the United States, which began early in his presidency. In the 1984 presidential election, he defeated former vice president Walter Mondale in another landslide victory. Foreign affairs dominated Reagan's second term, including the 1986 bombing of Libya, the Iran–Iraq War, the secret and illegal sale of arms to Iran to fund the Contras, and a more conciliatory approach in talks with Soviet leader Mikhail Gorbachev that culminated in the Intermediate-Range Nuclear Forces Treaty.

Reagan left the presidency in 1989 with the American economy having seen a significant reduction of inflation, the unemployment rate having fallen, and the United States having entered its then-longest peacetime expansion. At the same time, the national debt had nearly tripled since 1981 as a result of his cuts in taxes and increased military spending, despite cuts to domestic discretionary spending. Reagan's policies also helped contribute to the end of the Cold War and the end of Soviet communism.[7] Alzheimer's disease hindered Reagan post-presidency, and his physical and mental capacities rapidly deteriorated, ultimately leading to his death in 2004. Historians and scholars have typically ranked him among the upper to middle tier of American presidents, and his post-presidential approval ratings by the general public are usually high.[8]","Ronald Wilson Reagan (/ˈreɪɡən/ RAY-gən; February 6, 1911 – June 5, 2004) was an American politician and actor who served as the 40th president of the United States from 1981 to 1989."
Lionel Messi,"Lionel Andrés Messi[note 1] (Spanish pronunciation: [ljoˈnel anˈdɾes ˈmesi] ⓘ; born 24 June 1987), also known as Leo Messi, is an Argentine professional footballer who plays as a forward for and captains both Major League Soccer club Inter Miami and the Argentina national team. Widely regarded as one of the greatest players of all time, Messi has won a record eight Ballon d'Or awards[note 2] and a record six European Golden Shoes, and in 2020 he was named to the Ballon d'Or Dream Team. Until leaving the club in 2021, he had spent his entire professional career with Barcelona, where he won a club-record 34 trophies, including ten La Liga titles, seven Copa del Rey titles and the UEFA Champions League four times.[note 3] With his country, he won the 2021 Copa América and the 2022 FIFA World Cup. A prolific goalscorer and creative playmaker, Messi holds the records for most goals in La Liga (474), most hat-tricks in La Liga (36) and the UEFA Champions League (eight), and most assists in La Liga (192) and the Copa América (17). He also has the most international goals by a South American male (106). Messi has scored over 800 senior career goals for club and country, and has the most goals by a player for a single club (672).

Messi relocated to Spain from Argentina aged 13 to join Barcelona, for whom he made his competitive debut aged 17 in October 2004. He established himself as an integral player for the club within the next three years, and in his first uninterrupted season in 2008–09 he helped Barcelona achieve the first treble in Spanish football; that year, aged 22, Messi won his first Ballon d'Or. Three successful seasons followed, with Messi winning four consecutive Ballons d'Or, making him the first player to win the award four times. During the 2011–12 season, he set the La Liga and European records for most goals scored in a single season, while establishing himself as Barcelona's all-time top scorer. The following two seasons, Messi finished second for the Ballon d'Or behind Cristiano Ronaldo (his perceived career rival), before regaining his best form during the 2014–15 campaign, becoming the all-time top scorer in La Liga and leading Barcelona to a historic second treble, after which he was awarded a fifth Ballon d'Or in 2015. Messi assumed captaincy of Barcelona in 2018, and won a record sixth Ballon d'Or in 2019. Out of contract, he signed for French club Paris Saint-Germain in August 2021, spending two seasons at the club and winning Ligue 1 twice. Messi joined American club Inter Miami in July 2023, winning the Leagues Cup in August of that year.

An Argentine international, Messi is the country's all-time leading goalscorer and also holds the national record for appearances. At youth level, he won the 2005 FIFA World Youth Championship, finishing the tournament with both the Golden Ball and Golden Shoe, and an Olympic gold medal at the 2008 Summer Olympics. His style of play as a diminutive, left-footed dribbler drew comparisons with his compatriot Diego Maradona, who described Messi as his successor. After his senior debut in August 2005, Messi became the youngest Argentine to play and score in a FIFA World Cup (2006), and reached the final of the 2007 Copa América, where he was named young player of the tournament. As the squad's captain from August 2011, he led Argentina to three consecutive finals: the 2014 FIFA World Cup, for which he won the Golden Ball, the 2015 Copa América, winning the Golden Ball, and the 2016 Copa América. After announcing his international retirement in 2016, he reversed his decision and led his country to qualification for the 2018 FIFA World Cup, a third-place finish at the 2019 Copa América, and victory in the 2021 Copa América, while winning the Golden Ball and Golden Boot for the latter. That same year, Messi received a seventh Ballon d'Or. In 2022, he led Argentina to win the 2022 FIFA World Cup, where he won a record second Golden Ball, scored seven goals including two in the final, and broke the record for most games played at the World Cup (26), later receiving his record-extending eighth Ballon d'Or in 2023.

Messi has endorsed sportswear company Adidas since 2006. According to France Football, he was the world's highest-paid footballer for five years out of six between 2009 and 2014, and was ranked the world's highest-paid athlete by Forbes in 2019 and 2022. Messi was among Time's 100 most influential people in the world in 2011, 2012 and 2023. In 2020 and 2023, he was named the Laureus World Sportsman of the Year, with Messi being the first team-sport athlete to win the award. In 2020, Messi became the second footballer and second team-sport athlete to surpass $1 billion in career earnings.","Lionel Andrés Messi[note 1] (Spanish pronunciation: [ljoˈnel anˈdɾes ˈmesi] ⓘ; born 24 June 1987), also known as Leo Messi, is an Argentine professional footballer who plays as a forward for and captains both Major League Soccer club Inter Miami and the Argentina national team."
Babe Ruth,"George Herman ""Babe"" Ruth (February 6, 1895 – August 16, 1948) was an American professional baseball player whose career in Major League Baseball (MLB) spanned 22 seasons, from 1914 through 1935. Nicknamed ""the Bambino"" and ""the Sultan of Swat"", he began his MLB career as a star left-handed pitcher for the Boston Red Sox, but achieved his greatest fame as a slugging outfielder for the New York Yankees. Ruth is regarded as one of the greatest sports heroes in American culture and is considered by many to be the greatest baseball player of all time. In 1936, Ruth was elected into the Baseball Hall of Fame as one of its ""first five"" inaugural members.

At age seven, Ruth was sent to St. Mary's Industrial School for Boys, a reformatory where he was mentored by Brother Matthias Boutlier of the Xaverian Brothers, the school's disciplinarian and a capable baseball player. In 1914, Ruth was signed to play Minor League baseball for the Baltimore Orioles but was soon sold to the Red Sox. By 1916, he had built a reputation as an outstanding pitcher who sometimes hit long home runs, a feat unusual for any player in the dead-ball era. Although Ruth twice won 23 games in a season as a pitcher and was a member of three World Series championship teams with the Red Sox, he wanted to play every day and was allowed to convert to an outfielder. With regular playing time, he broke the MLB single-season home run record in 1919 with 29.

After that season, Red Sox owner Harry Frazee sold Ruth to the Yankees amid controversy. The trade fueled Boston's subsequent 86-year championship drought and popularized the ""Curse of the Bambino"" superstition. In his 15 years with the Yankees, Ruth helped the team win seven American League (AL) pennants and four World Series championships. His big swing led to escalating home run totals that not only drew fans to the ballpark and boosted the sport's popularity but also helped usher in baseball's live-ball era, which evolved from a low-scoring game of strategy to a sport where the home run was a major factor. As part of the Yankees' vaunted ""Murderers' Row"" lineup of 1927, Ruth hit 60 home runs, which extended his own MLB single-season record by a single home run. Ruth's last season with the Yankees was 1934; he retired from the game the following year, after a short stint with the Boston Braves. In his career, he led the American League in home runs twelve times.

During Ruth's career, he was the target of intense press and public attention for his baseball exploits and off-field penchants for drinking and womanizing. After his retirement as a player, he was denied the opportunity to manage a major league club, most likely because of poor behavior during parts of his playing career. In his final years, Ruth made many public appearances, especially in support of American efforts in World War II. In 1946, he became ill with nasopharyngeal cancer and died from the disease two years later. Ruth remains a major figure in American culture.

","George Herman ""Babe"" Ruth (February 6, 1895 – August 16, 1948) was an American professional baseball player whose career in Major League Baseball (MLB) spanned 22 seasons, from 1914 through 1935."
Bob Geldof,"Robert Frederick Zenon Geldof KBE (/ˈɡɛldɒf/;[1] born 5 October 1951) is an Irish singer-songwriter and political activist. He rose to prominence in the late 1970s as lead singer of the Irish rock band the Boomtown Rats, who achieved popularity as part of the punk rock movement. The band had UK number one hits with his co-compositions ""Rat Trap"" and ""I Don't Like Mondays"".[2][3][4] Geldof starred as Pink in Pink Floyd's 1982 film Pink Floyd – The Wall. As a fundraiser, Geldof organised the charity supergroup Band Aid and the concerts Live Aid and Live 8, and co-wrote ""Do They Know It's Christmas?"", one of the best-selling singles to date.[2][5][6]

Geldof is widely recognised for his activism, especially his anti-poverty efforts concerning Africa.[7] In 1984, he and Midge Ure founded the charity supergroup Band Aid to raise money for famine relief in Ethiopia.[5] They went on to organise the charity super-concert Live Aid the following year and the Live 8 concerts in 2005.[8] Geldof currently serves as an adviser to the ONE Campaign, co-founded by fellow Irish rock singer and activist Bono,[9] and is a member of the Africa Progress Panel (APP), a group of ten distinguished individuals who advocate at the highest levels for equitable and sustainable development in Africa. A single father, Geldof has also been outspoken for the fathers' rights movement.[10]

Geldof was granted an honorary knighthood (KBE) by Elizabeth II in 1986 for his charity work in Africa: it is an honorary award as Geldof is an Irish citizen, but he is often referred to as 'Sir Bob'.[11][12][13] He is a recipient of the Man of Peace title which recognises individuals who have made ""an outstanding contribution to international social justice and peace"", among numerous other awards and nominations.[14][15] In 2005, he received the Brit Award for Outstanding Contribution to Music.",Robert Frederick Zenon Geldof KBE (/ˈɡɛldɒf/;[1] born 5 October 1951) is an Irish singer-songwriter and political activist.
Roger Federer,"Roger Federer (German pronunciation: [ˈrɔdʒər ˈfeːdərər]; born 8 August 1981) is a Swiss former professional tennis player. Federer was ranked world No. 1 in singles by the Association of Tennis Professionals (ATP) for 310 weeks, including a record 237 consecutive weeks, and finished as the year-end No. 1 five times. He won 103 singles titles on the ATP Tour, the second most of all time, including 20 major men's singles titles (among which a record eight men's singles Wimbledon titles, and an Open Era joint-record five men's singles US Open titles) and six year-end championships.

A Wimbledon junior champion in 1998 and former ball boy, Federer won his first major singles title at Wimbledon in 2003 at age 21.[3] Between 2003 and 2009, Federer played in 21 out of 28 major singles finals. He won three of the four majors and the ATP Finals[c] in 2004, 2006, and 2007 as well as five consecutive titles at both Wimbledon and the US Open. He completed the career Grand Slam at the 2009 French Open after three consecutive runner-up finishes to Rafael Nadal, his main rival until 2010. At age 27, he surpassed Pete Sampras's record of 14 major men's singles titles at Wimbledon in 2009.

Federer and Stan Wawrinka led the Switzerland Davis Cup team to their first title in 2014, following their Olympic doubles gold victory at the 2008 Beijing Olympics. Federer also won a silver medal in singles at the 2012 London Olympics, finishing runner-up to Andy Murray. After a half-year hiatus in late 2016 to recover from knee surgery, Federer returned to tennis, winning three more majors over the next two years, including the 2017 Australian Open over Nadal and an eighth singles title at the 2017 Wimbledon Championships. At the 2018 Australian Open, Federer became the first man to win 20 major singles titles and the oldest ATP world No. 1 at age 36. In September 2022, he retired from professional tennis following the Laver Cup.

A versatile all-court player, Federer's grace on the court made him popular among tennis fans.[4][5] Originally lacking self-control as a junior,[6] he transformed his on-court demeanor[7] to become well-liked for his graciousness, winning the Stefan Edberg Sportsmanship Award 13 times. He also won the Laureus World Sportsman of the Year award a record five times. Outside of competition, Federer played an instrumental role in the creation of the Laver Cup team competition. He is also an active philanthropist. He established the Roger Federer Foundation, which targets impoverished children in southern Africa, and has raised funds in part through the Match for Africa exhibition series. By the end of his career, Federer was routinely one of the top-ten highest-paid athletes in any sport, and ranked first among all athletes with $100 million in endorsement income in 2020.[8]",Roger Federer (German pronunciation: [ˈrɔdʒər ˈfeːdərər]; born 8 August 1981) is a Swiss former professional tennis player.
Sigmund Freud,"Sigmund Freud (/frɔɪd/ FROYD,[2] German: [ˈziːgmʊnd ˈfʁɔʏd]; born Sigismund Schlomo Freud; 6 May 1856 – 23 September 1939) was an Austrian neurologist and the founder of psychoanalysis, a clinical method for evaluating and treating pathologies seen as originating from conflicts in the psyche, through dialogue between patient and psychoanalyst,[3] and the distinctive theory of mind and human agency derived from it.[4]

Freud was born to Galician Jewish parents in the Moravian town of Freiberg, in the Austrian Empire. He qualified as a doctor of medicine in 1881 at the University of Vienna.[5][6] Upon completing his habilitation in 1885 he was appointed a docent in neuropathology and became an affiliated professor in 1902.[7] Freud lived and worked in Vienna having set up his clinical practice there in 1886. Following the German annexation of Austria in March 1938, Freud left Austria to escape Nazi persecution. He died in exile in the United Kingdom in 1939.

In founding psychoanalysis, Freud developed therapeutic techniques such as the use of free association and discovered transference, establishing its central role in the analytic process. Freud's redefinition of sexuality to include its infantile forms led him to formulate the Oedipus complex as the central tenet of psychoanalytical theory.[8] His analysis of dreams as wish-fulfilments provided him with models for the clinical analysis of symptom formation and the underlying mechanisms of repression. On this basis Freud elaborated his theory of the unconscious and went on to develop a model of psychic structure comprising id, ego and super-ego.[9] Freud postulated the existence of libido, sexualised energy with which mental processes and structures are invested and which generates erotic attachments, and a death drive, the source of compulsive repetition, hate, aggression, and neurotic guilt.[9] In his later work Freud developed a wide-ranging interpretation and critique of religion and culture.

Though in overall decline as a diagnostic and clinical practice, psychoanalysis remains influential within psychology, psychiatry, psychotherapy, and across the humanities. It thus continues to generate extensive and highly contested debate concerning its therapeutic efficacy, its scientific status, and whether it advances or hinders the feminist cause.[10] Nonetheless, Freud's work has suffused contemporary Western thought and popular culture. W. H. Auden's 1940 poetic tribute to Freud describes him as having created ""a whole climate of opinion / under whom we conduct our different lives"".[11]","Sigmund Freud (/frɔɪd/ FROYD,[2] German: [ˈziːgmʊnd ˈfʁɔʏd]; born Sigismund Schlomo Freud; 6 May 1856 – 23 September 1939) was an Austrian neurologist and the founder of psychoanalysis, a clinical method for evaluating and treating pathologies seen as originating from conflicts in the psyche, through dialogue between patient and psychoanalyst,[3] and the distinctive theory of mind and human agency derived from it."
Woodrow Wilson,"Thomas Woodrow Wilson (December 28, 1856 – February 3, 1924) was an American politician and academic who served as the 28th president of the United States from 1913 to 1921. A member of the Democratic Party, Wilson served as the president of Princeton University and as the governor of New Jersey before winning the 1912 presidential election. As president, Wilson changed the nation's economic policies and led the United States into World War I in 1917. He was the leading architect of the League of Nations, and his progressive stance on foreign policy came to be known as Wilsonianism.

Born in Staunton, Virginia, Wilson grew up in the American South, mainly in Augusta, Georgia, during the Civil War and Reconstruction. After earning a Ph.D. in history and political science from Johns Hopkins University, Wilson taught at various colleges before becoming the president of Princeton University and a spokesman for progressivism in higher education. As governor of New Jersey from 1911 to 1913, Wilson broke with party bosses and won the passage of several progressive reforms. To win the presidential nomination he mobilized progressives and Southerners to his cause at the 1912 Democratic National Convention. Wilson defeated incumbent Republican William Howard Taft and third-party nominee Theodore Roosevelt to easily win the 1912 United States presidential election, becoming the first Southerner to do so since 1848. During his first year as president, Wilson authorized the widespread imposition of segregation inside the federal bureaucracy. He ousted many African Americans from federal posts and his opposition to women's suffrage drew protests. His first term was largely devoted to pursuing passage of his progressive New Freedom domestic agenda. His first major priority was the Revenue Act of 1913, which lowered tariffs and began the modern income tax. Wilson also negotiated the passage of the Federal Reserve Act, which created the Federal Reserve System. Two major laws, the Federal Trade Commission Act and the Clayton Antitrust Act, were enacted to promote business competition and combat extreme corporate power.

At the outbreak of World War I in 1914, the U.S. declared neutrality as Wilson tried to negotiate a peace between the Allied and Central Powers. He narrowly won re-election in the 1916 United States presidential election, boasting how he kept the nation out of wars in Europe and Mexico. In April 1917, Wilson asked Congress for a declaration of war against Germany in response to its policy of unrestricted submarine warfare that sank American merchant ships. Wilson nominally presided over war-time mobilization and left military matters to the generals. He instead concentrated on diplomacy, issuing the Fourteen Points that the Allies and Germany accepted as a basis for post-war peace. He wanted the off-year elections of 1918 to be a referendum endorsing his policies, but instead the Republicans took control of Congress. After the Allied victory in November 1918, Wilson went to Paris where he and the British and French leaders dominated the Paris Peace Conference. Wilson successfully advocated for the establishment of a multinational organization, the League of Nations. It was incorporated into the Treaty of Versailles that he signed. Wilson had refused to bring any leading Republican into the Paris talks, and back home he rejected a Republican compromise that would have allowed the Senate to ratify the Versailles Treaty and join the League.

Wilson had intended to seek a third term in office but suffered a severe stroke in October 1919 that left him incapacitated. His wife and his physician controlled Wilson, and no significant decisions were made. Meanwhile, his policies alienated German- and Irish-American Democrats and the Republicans won a landslide in the 1920 presidential election. Scholars have generally ranked Wilson in the upper tier of U.S. presidents, although he has been criticized for supporting racial segregation. His liberalism nevertheless lives on as a major factor in American foreign policy, and his vision of ethnic self-determination resonated globally.","Thomas Woodrow Wilson (December 28, 1856 – February 3, 1924) was an American politician and academic who served as the 28th president of the United States from 1913 to 1921."
Mao Zedong,"Mao Zedong[a] (26 December 1893 – 9 September 1976) was a Chinese politician, Marxist theorist, military strategist, poet, and revolutionary who was the founder of the People's Republic of China (PRC). He led the country from its establishment in 1949 until his death in 1976, while also serving as the chairman of the Chinese Communist Party during that time. His theories, military strategies and policies are known as Maoism.

Mao was the son of a prosperous peasant in Shaoshan, Hunan. He supported Chinese nationalism and had an anti-imperialist outlook early in his life, and was particularly influenced by the events of the Xinhai Revolution of 1911 and May Fourth Movement of 1919. He later adopted Marxism–Leninism while working at Peking University as a librarian and became a founding member of the Chinese Communist Party (CCP), leading the Autumn Harvest Uprising in 1927. During the Chinese Civil War between the Kuomintang (KMT) and the CCP, Mao helped to found the Chinese Red Army, led the Jiangxi Soviet's radical land reform policies, and ultimately became head of the CCP during the Long March. Although the CCP temporarily allied with the KMT under the Second United Front during the Second Sino-Japanese War (1937–1945), China's civil war resumed after Japan's surrender, and Mao's forces defeated the Nationalist government, which withdrew to Taiwan in 1949.

On 1 October 1949, Mao proclaimed the foundation of the PRC, a Marxist–Leninist single-party state controlled by the CCP. In the following years he solidified his control through the land reform campaign against landlords, the Campaign to Suppress Counterrevolutionaries, the ""Three-anti and Five-anti Campaigns"", and through a truce in the Korean War, which altogether resulted in the deaths of several million Chinese. From 1953 to 1958, Mao played an important role in enforcing command economy in China, constructing the first Constitution of the PRC, launching an industrialisation program, and initiating military projects such as the ""Two Bombs, One Satellite"" project and Project 523. His foreign policies during this time were dominated by the Sino-Soviet split which drove a wedge between China and the Soviet Union. In 1955, Mao launched the Sufan movement, and in 1957 he launched the Anti-Rightist Campaign, in which at least 550,000 people, mostly intellectuals and dissidents, were persecuted. In 1958, he launched the Great Leap Forward that aimed to rapidly transform China's economy from agrarian to industrial, which led to the Great Chinese Famine and the deaths of 15–55 million people between 1958 and 1962.

In 1963, Mao launched the Socialist Education Movement, and in 1966 he initiated the Cultural Revolution, a program to remove ""counter-revolutionary"" elements in Chinese society which lasted 10 years and was marked by violent class struggle, widespread destruction of cultural artifacts, and an unprecedented elevation of Mao's cult of personality. Tens of millions of people were persecuted during the Revolution, while the estimated number of deaths ranges from hundreds of thousands to millions. After years of ill health, Mao suffered a series of heart attacks in 1976 and died at the age of 82. During the Mao era, China's population grew from around 550 million to over 900 million while the government did not strictly enforce its family planning policy. During his leadership tenure, China was heavily involved with other Asian communist conflicts such as the Korean War, the Vietnam War, and the Cambodian Civil War.

Considered one of the most influential figures of the 20th century, Mao has been credited with transforming China from a semi-colony to a leading world power. The Land Reform Movement and the abolition of the landlord class allowed hundreds of millions of Chinese peasants and their families to gain land for the for the first time. Advanced literacy, women's rights, basic healthcare, primary education and improved life expectancy were all outcomes of Mao's tenure. He became an ideological figurehead behind his ideology and a prominent influence over the international communist movement, being endowed with remembrance, admiration and cult of personality both during life and after death. Mao's policies were responsible for vast numbers of deaths, with estimates ranging from 40 to 80 million victims due to starvation, persecution, prison labour, and mass executions, and his government was described as totalitarian.","Mao Zedong[a] (26 December 1893 – 9 September 1976) was a Chinese politician, Marxist theorist, military strategist, poet, and revolutionary who was the founder of the People's Republic of China (PRC)."
Katherine Hepburn,"Katharine Houghton Hepburn (May 12, 1907 – June 29, 2003) was an American actress whose career as a Hollywood leading lady spanned six decades. She was known for her headstrong independence, spirited personality, and outspokenness, cultivating a screen persona that matched this public image, and regularly playing strong-willed, sophisticated women. Her work was in a range of genres, from screwball comedy to literary drama, and earned her various accolades, including four Academy Awards for Best Actress—a record for any performer. In 1999, Hepburn was named the greatest female star of classic Hollywood cinema by the American Film Institute.

Raised in Connecticut by wealthy, progressive parents, Hepburn began to act while at Bryn Mawr College. Favorable reviews of her work on Broadway brought her to the attention of Hollywood. Her early years in film brought her international fame, including an Academy Award for Best Actress for her third film, Morning Glory (1933), but this was followed by a series of commercial failures culminating in the critically lauded box office failure Bringing Up Baby (1938). Hepburn masterminded her comeback, buying out her contract with RKO Radio Pictures and acquiring the film rights to The Philadelphia Story, which she sold on the condition that she be the star. That comedy film was a box office success and landed her a third Academy Award nomination. In the 1940s, she was contracted to Metro-Goldwyn-Mayer, where her career focused on an alliance with Spencer Tracy. The screen partnership spanned 26 years and produced nine films.

Hepburn challenged herself in the latter half of her life as she tackled Shakespearean stage productions and a range of literary roles. She found a niche playing mature, independent, and sometimes unmarried women such as in The African Queen (1951), a persona the public embraced. Hepburn received three more Academy Awards for her performances in Guess Who's Coming to Dinner (1967), The Lion in Winter (1968), and On Golden Pond (1981). In the 1970s, she began appearing in television films, which later became her focus. She made her final screen appearance at the age of 87. After a period of inactivity and ill health, Hepburn died in 2003 at the age of 96.

Hepburn shunned the Hollywood publicity machine and refused to conform to society's expectations of women, famously wearing trousers before they were fashionable for women. She was briefly married as a young woman but thereafter lived independently. With her unconventional lifestyle and the independent characters she brought to the screen, Hepburn epitomized the ""modern woman"" in the 20th-century United States and is remembered as an important cultural figure.","Katharine Houghton Hepburn (May 12, 1907 – June 29, 2003) was an American actress whose career as a Hollywood leading lady spanned six decades."
Audrey Hepburn,"Audrey Kathleen Hepburn (née Ruston; 4 May 1929 – 20 January 1993) was a British[a] actress. Recognised as a film and fashion icon, she was ranked by the American Film Institute as the third-greatest female screen legend from the Classical Hollywood cinema and was inducted into the International Best Dressed Hall of Fame List.

Born in Ixelles, Brussels, to an aristocratic family, Hepburn spent parts of her childhood in Belgium, England, and the Netherlands. She attended boarding school in Kent, England, from 1936 to 1939. With the outbreak of World War II, she returned to the Netherlands.[3] During the war, she studied ballet at the Arnhem Conservatory, and by 1944, she performed ballet to raise money to support the Dutch resistance.[4] She studied ballet with Sonia Gaskell in Amsterdam beginning in 1945, and with Marie Rambert in London from 1948. She began performing as a chorus girl in West End musical theatre productions and then had minor appearances in several films. She rose to stardom in the romantic comedy Roman Holiday (1953) alongside Gregory Peck, for which she was the first actress to win an Oscar, a Golden Globe Award, and a BAFTA Award for a single performance. That year, she also won a Tony Award for Best Lead Actress in a Play for her performance in Ondine.

Hepburn went on to star in a number of successful films such as Sabrina (1954), in which Humphrey Bogart and William Holden compete for her affection; Funny Face (1957), a musical in which she sang her own parts; the drama The Nun's Story (1959); the romantic comedy Breakfast at Tiffany's (1961); the thriller-romance Charade (1963), opposite Cary Grant; and the musical My Fair Lady (1964). In 1967, she starred in the thriller Wait Until Dark, receiving Academy Award, Golden Globe, and BAFTA nominations. After that, she only occasionally appeared in films, one being Robin and Marian (1976) with Sean Connery. Her last recorded performances were in the 1990 documentary television series Gardens of the World with Audrey Hepburn for which she won a Primetime Emmy Award for Outstanding Individual Achievement – Informational Programming.

Hepburn won three BAFTA Awards for Best British Actress in a Leading Role. In recognition of her film career, she received BAFTA's Lifetime Achievement Award, the Golden Globe Cecil B. DeMille Award, the Screen Actors Guild Life Achievement Award, and the Special Tony Award. She remains one of only eighteen people who have won competitive Academy, Emmy, Grammy, and Tony Awards. Later in life, Hepburn devoted much of her time to UNICEF, to which she had contributed since 1954. Between 1988 and 1992, she worked in some of the poorest communities of Africa, South America, and Asia. In December 1992, she received the US Presidential Medal of Freedom in recognition of her work as a UNICEF Goodwill Ambassador. A month later, she died of appendiceal cancer at her home in Tolochenaz, Vaud, Switzerland, at the age of 63.[5]",Audrey Kathleen Hepburn (née Ruston; 4 May 1929 – 20 January 1993) was a British[a] actress.
David Beckham,"David Robert Joseph Beckham OBE (/ˈbɛkəm/ BEK-əm;[5] born 2 May 1975) is an English former professional footballer, the current president and co-owner of Inter Miami and co-owner of Salford City.[6] Known for his range of passing, crossing ability, and bending free-kicks as a right winger, Beckham has been hailed as one of the greatest and most recognisable midfielders of his generation, as well as one of the best set-piece specialists of all time.[7][8] He is the first English player to win league titles in four countries: England, Spain, the United States and France.

Beckham's professional club career began with Manchester United, where he made his first-team debut in 1992 at age 17.[9] With United, he won the Premier League title six times, the FA Cup twice and the UEFA Champions League in 1999.[9] He then played four seasons with Real Madrid,[10] winning the La Liga championship in his final season with the club.[11] In July 2007, Beckham signed a five-year contract with Major League Soccer club LA Galaxy.[12] While a Galaxy player, he spent two loan spells in Italy with AC Milan in 2009 and 2010. He was the first British footballer to play 100 UEFA Champions League games.[9] He retired in May 2013 after a 20-year career, during which he won 19 major trophies.[13][14]

In international football, Beckham made his England debut on 1 September 1996, at the age of 21. He was captain for six years, earning 58 caps during his tenure.[15][16] He made 115 career appearances in total, appearing at three FIFA World Cup tournaments, in 1998, 2002 and 2006 and two UEFA European Championship tournaments, in 2000 and 2004. He held the England appearance record for an outfield player until 2016.

A global ambassador of football, Beckham is considered to be a British cultural icon.[17][18] He was runner-up in the Ballon d'Or in 1999, twice runner-up for FIFA World Player of the Year (1999 and 2001) and in 2004 was named by Pelé in the FIFA 100 list of the world's greatest living players.[19][20][21] He was inducted into the English Football Hall of Fame in 2008, and the Premier League Hall of Fame in 2021.[22] He has been a UNICEF ambassador since 2005, and in 2015 he launched 7: The David Beckham UNICEF Fund.[23]

Beckham has consistently ranked among the highest earners in football, and in 2013 was listed as the highest-paid player in the world, having earned over $50 million in the previous twelve months.[24] He has been married to Victoria Beckham since 1999 and they have four children.[25] In 2014, MLS announced that Beckham and a group of investors would own Inter Miami, which began playing in 2020.[26]","David Robert Joseph Beckham OBE (/ˈbɛkəm/ BEK-əm;[5] born 2 May 1975) is an English former professional footballer, the current president and co-owner of Inter Miami and co-owner of Salford City."
